,model_name,review,clean_review,sentiments
0,HP 2022 Newest Premium Laptop ,HP 2022 Newest Premium ... Read honest and unbiased product reviews from our users. ... HP laptop.,HP 2022 Newest Premium ... Read honest unbiased product reviews users. ... HP laptop.,appreciation
1,HP 14&#34,"HP 14"" FHD IPS LED 1080p Laptop Intel Core i5-1035G4 8GB ... This will be my first, and last HP laptop.","HP 14"" FHD IPS LED 1080p Laptop Intel Core i5-1035G4 8GB ... This first, last HP laptop.",appreciation
2,HP 15.6 Inch Touchscreen Laptop ,HP 15.6 Inch ... and a camera that was equal or better than my last HP laptop (Pavilion dv6-6c35dx).,HP 15.6 Inch ... camera equal better last HP laptop (Pavilion dv6-6c35dx).,appreciation
3,"HP 15.6 Inch Laptop, Intel Iris ","HP 15.6 Inch Laptop, Intel Iris Xe Graphics, ... I've used my new HP laptop for 7 days now.","HP 15.6 Inch Laptop, Intel Iris Xe Graphics, ... I've used new HP laptop 7 days now.",suggestion
4,HP 15 Laptop 15.6&#34,"HP 15 Laptop 15.6"", AMD Ryzen 5 2500U, AMD Radeon Vega 8 Graphics, 1TB HDD, 8GB SDRAM, 15-db0069wm, ...","HP 15 Laptop 15.6"", AMD Ryzen 5 2500U, AMD Radeon Vega 8 Graphics, 1TB HDD, 8GB SDRAM, 15-db0069wm, ...",suggestion
5,"HP 15.6-inch HD Laptop, AMD Ryzen 3 ",HP 15.6-inch HD ... I recently helped a family member buy a education series HP laptop (meant for ...,HP 15.6-inch HD ... I recently helped family member buy education series HP laptop (meant ...,appreciation
6,"HP Notebook Professional Laptop, 17.3 ",HP Notebook ... Only time will tell if this HP Laptop is as good as my previous HP computers.,HP Notebook ... Only time tell HP Laptop good previous HP computers.,appreciation
7,HP 15.6-Inch High Performance HD ,HP 15.6-Inch High ... I bought this one to replace my 7yr old HP laptop that recently died the good ...,HP 15.6-Inch High ... I bought one replace 7yr old HP laptop recently died good ...,suggestion
8,HP Pavilion dv6-6115nr 15.6-Inch Laptop,HP Pavilion dv6-6115nr ... Needed a new laptop to replace my 3.5 year old HP laptop that was starting ...,HP Pavilion dv6-6115nr ... Needed new laptop replace 3.5 year old HP laptop starting ...,suggestion
9,Keyboard Cover for 15.6 HP Laptop ,Keyboard Cover for 15.6 HP Laptop/HP Pavilion 15 15t-eg 15-eg/eh/er 15-eg2373cl 15-eg2153cl 15-eg0025nr ...,Keyboard Cover 15.6 HP Laptop/HP Pavilion 15 15t-eg 15-eg/eh/er 15-eg2373cl 15-eg2153cl 15-eg0025nr ...,suggestion
10,HP Pavilion 15 Laptop ,"HP Pavilion 15 Laptop Computer, ... Needed to replace an old HP laptop that was running very slow.","HP Pavilion 15 Laptop Computer, ... Needed replace old HP laptop running slow.",complaint
11,"Newest HP Notebook Laptop, ","Newest HP Notebook Laptop, 17.3'' Full HD Display, ... Great cosmetic fit with my new silver HP laptop.","Newest HP Notebook Laptop, 17.3'' Full HD Display, ... Great cosmetic fit new silver HP laptop.",appreciation
12,HP Pavilion ze5620us Laptop (2.8 GHz ,HP Pavilion ze5620us Laptop ... Sign in to filter reviews ... Plsssss don't buy any of the HP laptop.,HP Pavilion ze5620us Laptop ... Sign filter reviews ... Plsssss buy HP laptop.,suggestion
13,HP 14&#34; Laptop - 10th Gen Intel ,"HP 14"" Laptop - 10th Gen Intel Core i3-1005G1 Processor 1.2GHz 4GB DDR4 2666 SDRAM 128GB SSD ...","HP 14"" Laptop - 10th Gen Intel Core i3-1005G1 Processor 1.2GHz 4GB DDR4 2666 SDRAM 128GB SSD ...",suggestion
14,"HP 2022 New 15 Laptop, 15.6&#34","HP 2022 New 15 Laptop ... It is much faster than my previous HP laptop, the video and sound quality are ...","HP 2022 New 15 Laptop ... It much faster previous HP laptop, video sound quality ...",appreciation
